study_id,measurement_id,temperature_degC,depth_m,to_bottom,Unnamed: 5,Unnamed: 6,Unnamed: 7
17,252,-15.598016000000001,1.1572006000000001,,,,
17,252,-12.543673,1.4277712,,,,
17,252,-11.558519,1.632983,,,,
17,252,-10.855135,2.0731971000000002,,,,
17,252,-10.320781,2.6230316000000005,,,,
17,252,-9.913099,3.1570167999999996,,,,
17,252,-9.54787,3.9106142999999998,,,,
17,252,-9.323469000000001,4.726796599999999,,,,
17,252,-9.281874,5.3544645,,,,
17,252,-9.48015,6.546686,,,,
17,252,-9.861454,7.770058000000001,,,,
17,252,-10.172136,8.758163,,,,
17,252,-10.313504,9.35422,,,,
17,252,-10.568197999999999,10.656203999999999,,,,
17,252,-10.822449,11.518857,,,,
17,252,-11.076524000000001,12.208916,,,,
17,252,-11.246378,13.134435999999999,,,,
17,252,-11.402107,14.012901999999999,,,,
17,252,-11.473489,15.001307500000001,,,,
17,253,-25.014060999999998,-0.015708046,,,,
17,253,-22.762096,0.26954582,,,,
17,253,-19.440456,0.6973560000000001,,,,
17,253,-17.484148,1.0293099,,,,
17,253,-15.457251000000001,1.1573774,,,,
17,253,-14.303194,1.3784915,,,,
17,253,-12.839502,1.6470654999999998,,,,
17,253,-12.079732,2.0088983,,,,
17,253,-11.235821000000001,2.6846447,,,,
17,253,-10.757677000000001,3.1402664000000002,,,,
17,253,-10.476796,3.783925,,,,
17,253,-10.196010000000001,4.521726,,,,
17,253,-10.028343,5.761478,,,,
17,253,-10.085696,6.7969723,,,,
17,253,-10.156982000000001,7.691235000000001,,,,
17,253,-10.425657000000001,8.899058,,,,
17,253,-10.52497,9.667764,,,,
17,253,-10.652325,10.3266,,,,
17,253,-10.948978,11.3617935,,,,
17,253,-11.231508,12.349935,,,,
17,253,-11.401489,13.400977,,,,
17,253,-11.515259,14.546232999999999,,,,
17,253,-11.501626,14.985581,,,,
17,254,-25.000014999999998,0.015690377,,,,
17,254,-23.466084,0.42556614,,,,
17,254,-21.97427,0.72555625,,,,
17,254,-20.369923,1.1041396,,,,
17,254,-18.920242000000002,1.3099344,,,,
17,254,-17.653765,1.7194744,,,,
17,254,-16.542270000000002,2.2700336,,,,
17,254,-15.360520999999999,2.9462040000000003,,,,
17,254,-14.600973999999999,3.5277019999999997,,,,
17,254,-13.799355499999999,4.266156700000001,,,,
17,254,-12.885551,5.4283934,,,,
17,254,-11.999933,6.621975,,,,
17,254,-11.522076,7.3600235000000005,,,,
17,254,-11.129437,8.851104,,,,
17,254,-10.9898615,10.028058999999999,,,,
17,254,-10.990939,11.095004,,,,
17,254,-11.160952,12.177427999999999,,,,
17,254,-11.30289,13.338339999999999,,,,
17,254,-11.444686,14.358037,,,,
17,254,-11.48755,14.9855995,,,,
